Datum,Zeit,W [cm]
12/1/2005,0:00:00,181
12/1/2005,0:15:00,178
12/1/2005,0:30:00,182
12/1/2005,0:45:00,195
12/1/2005,1:00:00,226
12/1/2005,1:15:00,311
12/1/2005,1:30:00,372
12/1/2005,1:45:00,391
12/1/2005,2:00:00,401
12/1/2005,2:15:00,397
12/1/2005,2:30:00,386
12/1/2005,2:45:00,369
12/1/2005,3:00:00,346
12/1/2005,3:15:00,316
12/1/2005,3:30:00,288
12/1/2005,3:45:00,266
12/1/2005,4:00:00,251
12/1/2005,4:15:00,238
12/1/2005,4:30:00,229
12/1/2005,4:45:00,222
12/1/2005,5:00:00,216
12/1/2005,5:15:00,211
12/1/2005,5:30:00,207
12/1/2005,5:45:00,209
12/1/2005,6:00:00,222
12/1/2005,6:15:00,221
12/1/2005,6:30:00,209
12/1/2005,6:45:00,200
12/1/2005,7:00:00,194
12/1/2005,7:15:00,190
12/1/2005,7:30:00,186
12/1/2005,7:45:00,196
12/1/2005,8:00:00,211
12/1/2005,8:15:00,207
12/1/2005,8:30:00,226
12/1/2005,8:45:00,246
12/1/2005,9:00:00,242
12/1/2005,9:15:00,280
12/1/2005,9:30:00,358
12/1/2005,9:45:00,420
12/1/2005,10:00:00,442
12/1/2005,10:15:00,424
12/1/2005,10:30:00,407
12/1/2005,10:45:00,392
12/1/2005,11:00:00,376
12/1/2005,11:15:00,357
12/1/2005,11:30:00,339
12/1/2005,11:45:00,325
12/1/2005,12:00:00,313
12/1/2005,12:15:00,303
12/1/2005,12:30:00,302
12/1/2005,12:45:00,301
12/1/2005,13:00:00,306
12/1/2005,13:15:00,304
12/1/2005,13:30:00,296
12/1/2005,13:45:00,286
12/1/2005,14:00:00,281
12/1/2005,14:15:00,277
