Datum,Zeit,W [cm]
12/1/1993,0:00:00,140
12/1/1993,0:15:00,140
12/1/1993,0:30:00,140
12/1/1993,0:45:00,140
12/1/1993,1:00:00,139
12/1/1993,1:15:00,139
12/1/1993,1:30:00,139
12/1/1993,1:45:00,139
12/1/1993,2:00:00,139
12/1/1993,2:15:00,139
12/1/1993,2:30:00,139
12/1/1993,2:45:00,138
12/1/1993,3:00:00,138
12/1/1993,3:15:00,138
12/1/1993,3:30:00,138
12/1/1993,3:45:00,138
12/1/1993,4:00:00,138
12/1/1993,4:15:00,137
12/1/1993,4:30:00,137
12/1/1993,4:45:00,137
12/1/1993,5:00:00,137
12/1/1993,5:15:00,136
12/1/1993,5:30:00,135
12/1/1993,5:45:00,135
12/1/1993,6:00:00,135
12/1/1993,6:15:00,135
12/1/1993,6:30:00,135
12/1/1993,6:45:00,135
12/1/1993,7:00:00,135
12/1/1993,7:15:00,135
12/1/1993,7:30:00,135
12/1/1993,7:45:00,135
12/1/1993,8:00:00,136
12/1/1993,8:15:00,135
12/1/1993,8:30:00,135
12/1/1993,8:45:00,135
12/1/1993,9:00:00,136
12/1/1993,9:15:00,136
12/1/1993,9:30:00,138
12/1/1993,9:45:00,139
12/1/1993,10:00:00,136
12/1/1993,10:15:00,136
12/1/1993,10:30:00,136
12/1/1993,10:45:00,136
12/1/1993,11:00:00,136
12/1/1993,11:15:00,136
12/1/1993,11:30:00,137
12/1/1993,11:45:00,137
12/1/1993,12:00:00,137
12/1/1993,12:15:00,138
12/1/1993,12:30:00,138
12/1/1993,12:45:00,138
12/1/1993,13:00:00,138
12/1/1993,13:15:00,138
12/1/1993,13:30:00,138
12/1/1993,13:45:00,138
12/1/1993,14:00:00,138
12/1/1993,14:15:00,138
12/1/1993,14:30:00,138
12/1/1993,14:45:00,138
12/1/1993,15:00:00,138
12/1/1993,15:15:00,138
12/1/1993,15:30:00,138
12/1/1993,15:45:00,137
12/1/1993,16:00:00,136
12/1/1993,16:15:00,136
12/1/1993,16:30:00,136
12/1/1993,16:45:00,135
12/1/1993,17:00:00,135
12/1/1993,17:15:00,135
12/1/1993,17:30:00,135
12/1/1993,17:45:00,134
12/1/1993,18:00:00,134
12/1/1993,18:15:00,136
12/1/1993,18:30:00,136
12/1/1993,18:45:00,134
12/1/1993,19:00:00,134
12/1/1993,19:15:00,136
12/1/1993,19:30:00,136
12/1/1993,19:45:00,136
12/1/1993,20:00:00,135
12/1/1993,20:15:00,135
12/1/1993,20:30:00,135
12/1/1993,20:45:00,134
12/1/1993,21:00:00,133
12/1/1993,21:15:00,133
12/1/1993,21:30:00,134
12/1/1993,21:45:00,134
12/1/1993,22:00:00,134
12/1/1993,22:15:00,134
12/1/1993,22:30:00,134
12/1/1993,22:45:00,134
12/1/1993,23:00:00,135
12/1/1993,23:15:00,134
12/1/1993,23:30:00,134
12/1/1993,23:45:00,134
12/2/1993,0:00:00,133
12/2/1993,0:15:00,133
12/2/1993,0:30:00,133
12/2/1993,0:45:00,132
12/2/1993,1:00:00,132
12/2/1993,1:15:00,132
12/2/1993,1:30:00,132
12/2/1993,1:45:00,131
12/2/1993,2:00:00,131
12/2/1993,2:15:00,131
12/2/1993,2:30:00,131
12/2/1993,2:45:00,131
12/2/1993,3:00:00,131
12/2/1993,3:15:00,133
12/2/1993,3:30:00,132
12/2/1993,3:45:00,132
12/2/1993,4:00:00,132
12/2/1993,4:15:00,131
12/2/1993,4:30:00,130
12/2/1993,4:45:00,130
12/2/1993,5:00:00,130
12/2/1993,5:15:00,130
12/2/1993,5:30:00,131
12/2/1993,5:45:00,131
12/2/1993,6:00:00,131
12/2/1993,6:15:00,131
12/2/1993,6:30:00,131
12/2/1993,6:45:00,131
12/2/1993,7:00:00,132
12/2/1993,7:15:00,131
12/2/1993,7:30:00,132
